Date,Open,High,Low,Close,Adj Close,Volume
2003-10-01,3.408333,3.533333,3.408333,3.525000,1.462253,7165200
2003-10-02,3.525000,3.716667,3.524167,3.683333,1.527933,9645600
2003-10-03,3.766667,3.828333,3.745833,3.787500,1.571143,10899600
2003-10-06,3.788333,3.850000,3.758333,3.840000,1.592922,5023200
2003-10-07,3.883333,3.883333,3.850833,3.854167,1.598798,8403600
2003-10-08,3.875000,3.897500,3.770833,3.770833,1.564230,8730000
2003-10-09,3.770833,3.831667,3.750000,3.758333,1.559045,5265600
2003-10-10,3.737500,3.745833,3.717500,3.735000,1.549365,2690400
2003-10-13,3.745833,3.933333,3.741667,3.905000,1.619885,5886000
2003-10-14,3.916667,3.995833,3.908333,3.965833,1.645120,5724000
2003-10-15,3.979167,3.979167,3.917500,3.931667,1.630947,3376800
2003-10-16,3.916667,3.916667,3.880000,3.895833,1.634091,2058000
2003-10-17,3.900000,3.900000,3.849167,3.858333,1.618362,4642800
2003-10-20,3.837500,3.845833,3.794167,3.808333,1.597390,7496400
2003-10-21,3.808333,3.845833,3.804167,3.837500,1.609624,6054000
2003-10-22,3.800000,3.833333,3.725000,3.729167,1.564184,4131600
2003-10-23,3.658333,3.675000,3.620000,3.675000,1.541464,4983600
2003-10-24,3.616667,3.662500,3.610000,3.637500,1.525735,5022000
2003-10-27,3.633333,3.660833,3.600000,3.660833,1.535522,4238400
2003-10-28,3.657500,3.712500,3.653333,3.712500,1.557193,10520400
2003-10-29,3.704167,3.783333,3.704167,3.780833,1.585855,7788000
2003-10-30,3.780833,3.875000,3.754167,3.866667,1.621858,6304800
2003-10-31,3.879167,3.888333,3.783333,3.812500,1.599138,5420400
2003-11-03,3.816667,3.845833,3.812500,3.825000,1.604381,10362000
2003-11-04,3.820833,3.915833,3.817500,3.858333,1.618362,5479200
2003-11-05,3.841667,3.860833,3.750000,3.766667,1.579913,7390800
2003-11-06,3.791667,3.791667,3.666667,3.666667,1.537969,10054800
2003-11-07,3.675833,3.696667,3.630000,3.670000,1.539367,11413200
2003-11-10,3.662500,3.662500,3.525000,3.562500,1.494276,7126800
2003-11-11,3.562500,3.562500,3.504167,3.535000,1.482741,7048800
2003-11-12,3.516667,3.620833,3.516667,3.608333,1.513501,4378800
2003-11-13,3.629167,3.685833,3.587500,3.655000,1.533075,14011200
2003-11-14,3.657500,3.657500,3.606667,3.632500,1.523638,5851200
2003-11-17,3.625833,3.625833,3.513333,3.533333,1.482042,7023600
2003-11-18,3.583333,3.583333,3.501667,3.505000,1.470158,4666800
2003-11-19,3.500833,3.516667,3.475000,3.500000,1.468060,8264400
2003-11-20,3.500000,3.518333,3.488333,3.512500,1.473304,5414400
2003-11-21,3.504167,3.533333,3.499167,3.505833,1.470508,3902400
2003-11-24,3.516667,3.525000,3.503333,3.512500,1.473304,4104000
2003-11-25,3.520833,3.637500,3.514167,3.625000,1.520492,5530800
2003-11-26,3.625833,3.669167,3.608333,3.620833,1.518744,3412800
2003-11-28,3.621667,3.650000,3.616667,3.649167,1.530628,2125200
2003-12-01,3.683333,3.877500,3.683333,3.833333,1.607876,5709600
2003-12-02,3.866667,3.870000,3.827500,3.860833,1.619411,4922400
2003-12-03,3.845833,3.850000,3.829167,3.841667,1.611372,3349200
2003-12-04,3.857500,3.971667,3.857500,3.967500,1.664152,5704800
2003-12-05,3.979167,4.111667,3.946667,4.042500,1.695611,7675200
2003-12-08,4.104167,4.241667,4.079167,4.241667,1.779150,6984000
2003-12-09,4.375000,4.478333,4.329167,4.444167,1.864088,18734400
2003-12-10,4.456666,4.464167,4.298333,4.300000,1.803618,14535600
2003-12-11,4.295833,4.343333,4.245000,4.327500,1.815152,11044800
2003-12-12,4.341667,4.541667,4.292500,4.483333,1.880516,10234800
2003-12-15,4.683333,4.687500,4.491667,4.502500,1.888556,13120800
2003-12-16,4.541667,4.566667,4.483333,4.524167,1.897644,10450800
2003-12-17,4.503334,4.552500,4.490833,4.516667,1.894498,11704800
2003-12-18,4.512500,4.584167,4.507500,4.579167,1.920713,6907200
2003-12-19,4.579167,4.704167,4.569167,4.695833,1.969648,12937200
2003-12-22,4.687500,4.933333,4.676667,4.887500,2.050042,13371600
2003-12-23,4.933333,4.962500,4.792500,4.821667,2.022429,12786000
2003-12-24,4.821667,4.906667,4.815000,4.865000,2.040604,1432800
2003-12-26,4.879167,4.930000,4.866667,4.914166,2.061227,1569600
2003-12-29,4.935000,4.990000,4.883333,4.965833,2.082899,6994800
2003-12-30,4.879167,4.970000,4.802500,4.854167,2.036060,7218000
2003-12-31,4.875000,4.925000,4.818333,4.875000,2.044799,1646400
2004-01-02,4.895833,5.095833,4.895833,5.066667,2.125193,5176800
2004-01-05,5.212500,5.279167,5.183333,5.239167,2.197547,16708800
2004-01-06,5.291667,5.291667,5.126667,5.175000,2.170633,8653200
2004-01-07,5.208333,5.241667,4.984167,5.035833,2.112260,9655200
2004-01-08,5.041667,5.216667,5.036667,5.141667,2.156651,9116400
2004-01-09,5.141667,5.158333,5.058333,5.070000,2.126591,4206000
2004-01-12,5.129167,5.165000,5.032500,5.104167,2.140922,6345600
2004-01-13,5.266667,5.266667,5.091667,5.108333,2.142669,8698800
2004-01-14,5.108333,5.125000,4.900000,5.058333,2.121697,10122000
2004-01-15,5.054167,5.054167,4.890000,4.912500,2.060528,5815200
2004-01-16,4.870833,4.948333,4.847500,4.885000,2.048994,7291200
2004-01-20,4.916667,5.020000,4.916667,4.999166,2.096880,6624000
2004-01-21,4.920833,4.924167,4.875000,4.875000,2.044799,4486800
2004-01-22,4.924167,4.924167,4.804167,4.815000,2.019633,6598800
2004-01-23,4.737500,4.791667,4.725000,4.750000,1.992369,9417600
2004-01-26,4.770833,4.800000,4.645833,4.687500,1.966153,7044000
2004-01-27,4.712500,4.847500,4.699167,4.816667,2.020331,10675200
2004-01-28,4.884167,4.895000,4.650000,4.683333,1.964405,6733200
2004-01-29,4.685833,4.685833,4.497500,4.548333,1.907780,14830800
2004-01-30,4.500000,4.502500,4.432500,4.472500,1.875972,7258800
2004-02-02,4.477500,4.608333,4.450000,4.546667,1.907081,11110800
2004-02-03,4.562500,4.875000,4.562500,4.850000,2.034313,12080400
2004-02-04,4.916667,4.950000,4.866667,4.908333,2.058781,10012800
2004-02-05,4.909167,4.925000,4.687500,4.687500,1.966153,8316000
2004-02-06,4.604167,4.795833,4.595000,4.729167,1.983630,6778800
2004-02-09,4.755000,4.845833,4.755000,4.838333,2.029419,8085600
2004-02-10,4.829167,4.962500,4.829167,4.908333,2.058781,7898400
2004-02-11,4.883333,5.034167,4.866667,5.031667,2.110513,11074800
2004-02-12,5.033333,5.151667,5.033333,5.083333,2.132184,8034000
2004-02-13,5.062500,5.075000,4.904167,4.970000,2.084646,7268400
2004-02-17,4.950000,5.015000,4.867500,5.003334,2.098628,8192400
2004-02-18,5.000000,5.004167,4.841667,4.866667,2.041304,8740800
2004-02-19,4.867500,4.893333,4.737500,4.758333,1.995864,11565600
2004-02-20,4.583333,4.770000,4.583333,4.740000,1.988173,8470800
2004-02-23,4.708333,4.725000,4.634167,4.645833,1.948676,5432400
2004-02-24,4.625000,4.691667,4.623333,4.675833,1.961259,3826800
2004-02-25,4.708333,4.783333,4.708333,4.775833,2.003204,5590800
2004-02-26,4.770833,4.800000,4.665833,4.785000,2.007049,3768000
2004-02-27,4.795833,4.843333,4.791667,4.825000,2.023826,5137200
2004-03-01,4.929167,5.050000,4.923333,5.035833,2.112260,11032800
2004-03-02,5.000000,5.037500,4.991667,5.007500,2.100375,8319600
2004-03-03,5.083333,5.083333,4.883333,4.932500,2.068917,6013200
2004-03-04,4.941667,4.945833,4.897500,4.920833,2.064024,9549600
2004-03-05,4.925000,4.941667,4.815000,4.832500,2.026973,9394800
2004-03-08,4.895833,4.901667,4.720000,4.720833,1.980134,6973200
2004-03-09,4.712500,4.757500,4.622500,4.634167,1.943783,8689200
2004-03-10,4.634167,4.658333,4.299167,4.354167,1.826338,13642800
2004-03-11,4.354167,4.354167,4.208333,4.215000,1.767965,13600800
2004-03-12,4.325000,4.541667,4.312500,4.369167,1.832629,18948000
2004-03-15,4.387500,4.458333,4.284167,4.308333,1.807113,8740800
2004-03-16,4.333333,4.366667,4.283333,4.283333,1.796626,5583600
2004-03-17,4.395833,4.512500,4.383333,4.487500,1.882264,10999200
2004-03-18,4.493333,4.533333,4.435833,4.498333,1.886807,8077200
2004-03-19,4.570833,4.570833,4.476666,4.476666,1.877720,8676000
2004-03-22,4.466667,4.466667,4.341667,4.370833,1.833328,6087600
2004-03-23,4.416667,4.421667,4.308333,4.345833,1.822842,10328400
2004-03-24,4.333333,4.341667,4.220000,4.245833,1.780898,8169600
2004-03-25,4.166667,4.204167,4.139167,4.163333,1.746293,9736800
2004-03-26,4.165833,4.356667,4.150000,4.341667,1.821095,10604400
2004-03-29,4.404167,4.474167,4.400000,4.441667,1.863039,5415600
2004-03-30,4.455000,4.591667,4.451667,4.541667,1.904984,4531200
2004-03-31,4.579167,4.579167,4.483333,4.575000,1.918965,4762800
2004-04-01,4.575000,4.637500,4.541667,4.623333,1.939239,11238000
2004-04-02,4.658333,4.712500,4.658333,4.693333,1.968600,6568800
2004-04-05,4.741667,4.761667,4.665833,4.733333,1.985377,5925600
2004-04-06,4.733333,4.761667,4.712500,4.757500,1.995515,2990400
2004-04-07,4.675000,4.688334,4.629167,4.687500,1.966153,2802000
2004-04-08,4.687500,4.691667,4.550000,4.610000,1.933646,4867200
2004-04-12,4.604167,4.626667,4.591667,4.611667,1.934345,2598000
2004-04-13,4.633333,4.633333,4.425000,4.454167,1.868282,4464000
2004-04-14,4.416667,4.417500,4.350000,4.383333,1.838571,9838800
2004-04-15,4.312500,4.363333,4.287500,4.355000,1.851859,9974400
2004-04-16,4.355000,4.456666,4.325000,4.416667,1.878081,7170000
2004-04-19,4.408333,4.423333,4.368333,4.394166,1.868513,6321600
2004-04-20,4.375000,4.380000,4.210834,4.245833,1.805438,6422400
2004-04-21,4.208333,4.209167,4.080833,4.089167,1.738819,14785200
2004-04-22,4.091667,4.135000,4.002500,4.062500,1.727480,17558400
2004-04-23,4.087500,4.170833,4.087500,4.137500,1.759372,11582400
2004-04-26,4.165000,4.183333,4.000000,4.041667,1.718621,11157600
2004-04-27,4.045833,4.090833,4.004167,4.075000,1.732795,8829600
2004-04-28,4.058333,4.058333,3.764167,3.805833,1.618339,22266000
2004-04-29,3.825000,3.893333,3.729167,3.775000,1.605227,16042800
2004-04-30,3.833333,3.841667,3.775833,3.791667,1.612315,7182000
2004-05-03,3.666667,3.718333,3.634167,3.675000,1.562705,20632800
2004-05-04,3.750000,3.858333,3.745833,3.812500,1.621173,14464800
2004-05-05,3.883333,3.886667,3.833333,3.879167,1.649521,10023600
2004-05-06,3.835000,3.835833,3.716667,3.720833,1.582194,9007200
2004-05-07,3.625000,3.688333,3.583333,3.591667,1.527269,17115600
2004-05-10,3.466667,3.560000,3.441667,3.520833,1.497149,13713600
2004-05-11,3.541667,3.716667,3.541667,3.681667,1.565540,14840400
2004-05-12,3.660833,3.687500,3.547500,3.616667,1.537900,11120400
2004-05-13,3.583333,3.862500,3.577500,3.816667,1.622945,19934400
2004-05-14,3.917500,3.917500,3.744167,3.764167,1.600621,14638800
2004-05-17,3.645833,3.696667,3.543333,3.667500,1.559516,9026400
2004-05-18,3.770833,3.954167,3.750000,3.939167,1.675035,11226000
2004-05-19,4.020833,4.145833,3.975000,3.987500,1.695588,14686800
2004-05-20,3.979167,3.979167,3.904167,3.919167,1.666531,7308000
2004-05-21,3.920833,3.973333,3.920833,3.945833,1.677870,9960000
2004-05-24,3.983333,4.092500,3.983333,4.045000,1.720038,5044800
2004-05-25,4.044167,4.116667,4.005833,4.083333,1.736339,9211200
2004-05-26,4.084167,4.166667,4.066667,4.165000,1.771065,9505200
2004-05-27,4.170833,4.347500,4.170833,4.292500,1.825282,11317200
2004-05-28,4.325000,4.325000,4.200000,4.225000,1.796579,7642800
2004-06-01,4.187500,4.200000,4.126667,4.175000,1.775318,6968400
2004-06-02,4.175000,4.233333,4.095833,4.100000,1.743426,10650000
2004-06-03,4.100833,4.100833,3.969167,3.970833,1.688501,11401200
2004-06-04,4.020833,4.133333,4.020833,4.115000,1.749804,4251600
2004-06-07,4.225000,4.328333,4.208333,4.317500,1.835913,3295200
2004-06-08,4.220833,4.275000,4.220833,4.250000,1.807210,2514000
2004-06-09,4.250000,4.250000,4.037500,4.070000,1.730669,11222400
2004-06-10,4.083333,4.142500,4.079167,4.137500,1.759372,4348800
2004-06-14,3.987500,4.000000,3.886667,3.900833,1.658735,6004800
2004-06-15,3.958333,3.980000,3.779167,3.779167,1.606999,18397200
2004-06-16,3.716667,3.750833,3.629167,3.666667,1.559161,25042800
2004-06-17,3.720833,3.817500,3.710833,3.785000,1.609480,13284000
2004-06-18,3.762500,3.847500,3.751667,3.829167,1.628261,6314400
2004-06-21,3.837500,3.866667,3.750833,3.783333,1.608771,14083200
2004-06-22,3.762500,3.791667,3.725000,3.791667,1.612315,5733600
2004-06-23,3.766667,3.890000,3.737500,3.890000,1.654129,7204800
2004-06-24,3.897500,4.041667,3.897500,4.025000,1.711534,10708800
2004-06-25,4.004167,4.096667,3.997500,4.083333,1.736339,10266000
2004-06-28,4.062500,4.062500,3.835000,3.858333,1.640663,12934800
2004-06-29,3.875000,3.950000,3.844167,3.897500,1.657317,7813200
2004-06-30,3.858333,3.970833,3.847500,3.962500,1.684958,5509200
2004-07-01,3.979167,3.982500,3.854167,3.904167,1.660153,5234400
2004-07-02,3.958333,3.994167,3.920833,3.941667,1.676099,2374800
2004-07-06,3.979167,3.983333,3.850000,3.866667,1.644207,5906400
2004-07-07,3.916667,4.125834,3.916667,4.083333,1.736339,9801600
2004-07-08,4.037500,4.070833,3.962500,3.962500,1.684958,5580000
2004-07-09,3.962500,3.990833,3.951667,3.966667,1.686729,4224000
2004-07-12,4.008333,4.008333,3.946667,4.000000,1.700903,4570800
2004-07-13,4.050000,4.100000,4.033333,4.083333,1.736339,5565600
2004-07-14,4.083333,4.165000,4.050000,4.125000,1.754056,9505200
2004-07-15,4.158333,4.445833,4.158333,4.334167,1.842999,27421200
2004-07-16,4.416667,4.530000,4.387500,4.495833,1.911744,16167600
2004-07-19,4.495833,4.495833,4.395833,4.395833,1.869222,9339600
2004-07-20,4.400000,4.483333,4.385833,4.483333,1.906429,9093600
2004-07-21,4.491667,4.641667,4.308333,4.308333,1.832014,15657600
2004-07-22,4.309166,4.350000,4.208333,4.279167,1.819612,10449600
2004-07-23,4.245833,4.283333,4.158333,4.191667,1.782405,7225200
2004-07-26,4.233333,4.233333,4.115833,4.130833,1.756537,3079200
2004-07-27,4.151667,4.262500,4.135000,4.258333,1.810753,4522800
2004-07-28,4.258333,4.410833,4.258333,4.375834,1.860718,4977600
2004-07-29,4.413333,4.469167,4.400000,4.469167,1.900405,5048400
2004-07-30,4.504167,4.520833,4.466667,4.491667,1.909972,6178800
2004-08-02,4.433333,4.496666,4.384167,4.494167,1.911036,2120400
2004-08-03,4.454167,4.510000,4.450000,4.463333,1.897924,4251600
2004-08-04,4.375000,4.475000,4.350000,4.350000,1.849732,5535600
2004-08-05,4.350000,4.462500,4.266667,4.295833,1.826699,5276400
2004-08-06,4.250000,4.391667,4.250000,4.331666,1.841936,5378400
2004-08-09,4.391667,4.419167,4.316667,4.316667,1.835558,3308400
2004-08-10,4.354167,4.454167,4.354167,4.432500,1.884813,4808400
2004-08-11,4.391667,4.431667,4.340000,4.387500,2.623527,3408000
2004-08-12,4.491667,4.533333,4.455000,4.462500,2.668373,10533600
2004-08-13,4.504167,4.504167,4.452500,4.470833,2.673357,5318400
2004-08-16,4.500000,4.604167,4.499166,4.581666,2.739630,8792400
2004-08-17,4.587500,4.741667,4.587500,4.706666,2.814374,7356000
2004-08-18,4.687500,4.795833,4.662500,4.781667,2.859221,5667600
2004-08-19,4.779167,4.918334,4.779167,4.875834,2.915528,7695600
2004-08-20,4.875834,4.875834,4.658333,4.820000,2.882142,11029200
2004-08-23,4.819167,4.820833,4.668334,4.689167,2.803910,5433600
2004-08-24,4.741667,4.778333,4.602500,4.609167,2.756074,6732000
2004-08-25,4.588333,4.760000,4.545833,4.728333,2.827330,7832400
2004-08-26,4.708333,4.745833,4.666667,4.695000,2.807398,4689600
2004-08-27,4.695000,4.741667,4.666667,4.731667,2.829323,4484400
2004-08-30,4.693333,4.767500,4.691667,4.741667,2.835302,3021600
